,finger extension,thumb extension,thumb abduction,aperture,wrist extension,supination,elbow extension,shoulder elevation,external rotation,smoothness,movement,rotation,accel_label
27,165.7092209006,24.7875403563,72.7994276072,124.4716254794,24.5551024461,159.187045868,166.570039779,73.8406042833,0.5345110506,-3086.7267390678,0.0204133068,10.8076038803,1
28,63.6429499655,,61.5025017416,46.2314496993,27.9977265823,,99.3991336469,44.9463101897,-21.4942125437,-5177.3738318129,0.1663622386,31.5935089682,0
29,180.679314097,45.3280321168,83.8606862486,121.8497309182,23.6925938668,,125.1478600285,64.7686879382,32.9122137641,-3839.0012328244,0.0410125424,11.387451689,1
30,164.839408785,15.6381766663,54.6356964028,100.0306732382,19.1038404847,135.369472138,156.8955780912,67.1099362052,11.7559168749,-2721.5032254203,0.0605886905,18.9372003877,0
31,46.2741516075,-4.1355469909,40.7750369194,53.6107558068,15.7858949393,93.1660992703,173.2570099672,109.82639614,0.2091529558,,,,0
32,167.7273341246,15.4952747224,81.1748596241,125.698783114,18.0553944546,183.785345029,133.877500726,76.2696134725,12.5869526646,-3075.9122105668,0.0384163261,16.5130809317,1
33,187.6646505359,55.9293751165,85.9719027995,170.178861173,21.8633171036,149.7572062709,133.9033621518,93.1022150085,-57.4224409636,-3924.6548350541,0.1982342034,25.1141690799,0
34,136.9842576318,-86.5860901185,124.3848038372,70.2600114406,-5.9647316074,92.9146912106,74.7896756594,37.7770804448,-16.9947929084,-3840.276629652,0.1402378878,27.9910099827,0
35,115.9319840494,15.8848171059,54.6356964028,99.7938896905,26.1593525413,136.500427803,163.5772472128,51.5535236278,-32.857057803,-6271.9151884843,0.0908288029,24.5921069158,0
36,166.6453022443,23.0853693211,70.8128245561,116.1478771671,15.4462352022,187.8982862088,155.6028402565,87.0981457944,,-3332.6080371082,0.0294997258,8.9562214129,0
37,78.9581772428,-22.3283811562,51.9317747088,19.4825784971,-9.4683619053,124.7381678762,122.9089081807,69.6459408934,,-4810.9446787552,0.1152689188,28.5235756069,0
38,177.1762625282,20.8233226016,68.4691254686,154.7628176107,33.2728103806,165.6775821481,169.0993686229,91.0405863147,31.0529176838,-4353.799713835,0.0576838391,14.0340257834,0
39,178.1202709067,57.4709874898,,168.1130981605,32.8421821484,136.1790981136,156.6452546957,74.8836486316,23.7912658307,-3326.5148724693,0.0343732923,17.4644487618,0
40,200.6453348999,56.3919750986,41.1619313039,164.714313644,10.7367029724,122.3837004905,141.3679455481,65.861755955,31.4619397266,-4552.6843029014,0.0557657199,12.4199232244,0
41,111.5465800971,15.8848171059,54.6356964028,103.7647067658,30.1468126833,163.7201550989,117.3643419031,,-5.1416511035,-4417.6517166604,0.1307188534,17.8392204901,0
42,178.9542417068,22.165198012,52.9842033328,149.5326344547,18.1490848796,121.6580054275,128.2331593682,,-9.9758182726,-4085.4768077777,0.0637547152,18.5208942846,0
43,158.8848746917,15.8848171059,49.4546236609,113.0432031509,8.1272168058,149.3229925026,167.4356107907,67.3234085971,2.4000254549,-3912.68952965,0.0361237334,12.8641062917,0
44,123.7593133207,-33.0297696707,43.0439057531,60.3470033035,-22.6715384974,80.6730239707,79.6224195576,66.7813238252,-33.899746529,-3111.5321324979,0.1541620238,38.1462745936,0
