finger extension,thumb extension,thumb abduction,aperture,wrist extension,supination,elbow extension,shoulder elevation,external rotation,smoothness,movement,rotation,accel_label
0.5575082904986519,0.7287792387512041,0.209995735751493,0.6024378084026804,0.8658047358067094,0.36103862079777127,0.6444057304214936,0.7709961844370546,0.20202856084559542,0.6310648865352741,0.1168655753,-0.4728777459130731,0.0
0.9047319039309064,0.3369057909675636,0.2704804231331167,0.7071839519366137,0.800602699187172,0.576844259925182,0.6748960829841786,0.5647980153031632,0.24217837939705567,0.17613830787203444,0.0254624425,-0.7882616638693252,0.0
0.7652698703198711,0.58014261389046,0.5411583510238124,0.6146249909037236,0.7323159505896164,0.5346537252338377,0.8014848431146326,0.7420870927378155,0.3912811865593845,0.11659364965243135,0.0425497412,-0.6030049995675653,1.0
0.823912658352744,0.7290544075902374,0.32717353114019365,0.6531046114280816,0.8141848321022225,0.830585847878136,0.7396165703013016,0.5002359580495107,-0.011280231041006727,0.8066176373626246,0.025344392,-1.0,1.0
0.8225845753625939,0.7854482024184891,0.9530113573400779,0.6540811391710817,0.8962215799367625,0.5133924146069626,0.710449778528919,0.7032911745763578,0.49243773254267315,0.11049584957593117,0.0367654183,-0.7144572591259882,0.0
0.8116896855980039,0.5572574623843041,0.43938814388873026,0.5997977347762085,0.658233169201097,0.30237218492633755,0.5668641252303386,0.7714537228936232,0.9193529626680884,-0.029938009187559178,0.2356819987,-0.12755636724707586,0.0
0.7097389939842095,0.2037231195880452,0.3018271858209539,0.7309691367955444,0.7427585047423102,0.6109854359793314,0.5477184994086359,0.270600882567423,0.3442710596246809,0.09722130083395975,0.019665528999999998,-0.9849937549887567,1.0
0.1791531908077404,0.11789079215724363,0.28100402217812515,0.46004284853595145,0.7274914673210697,0.6156023082371673,0.21830189045584797,0.5656596730566196,0.6615685590452736,-0.5196562953990438,0.1620232777,-0.13330324434887952,0.0
0.47066592240714555,-0.5051097801300085,1.0,0.2597806081706402,0.6305538717739708,0.08141203635698424,0.6670638803511413,0.5787765646603932,0.3991020431686799,-0.8630253363814888,0.0805301667,-0.3255823478548202,1.0
0.4706473433087749,0.135988308148015,0.4192376582517655,0.4946550197944676,0.487749585241013,0.5420720444857858,0.2828696491465001,0.22212316581607994,-0.217578892853738,-0.11540427214711535,0.1177563996,-0.17847920316072652,0.0
0.8306815465708307,0.40483732777139064,0.6432754285109866,0.9134553836397605,0.6775147196264772,0.4917916269752989,0.6886137992428976,0.5326986036712208,1.0,0.17551324339696928,0.023443438599999998,-0.8090789146870344,1.0
